Date, open, high,low,close,volume
13-11-2006,159.7717,161.7279,159.0163,161.4858,1971642
10-11-2006,156.4984,159.1713,154.5615,158.474,3900526
09-11-2006,156.111,157.3603,153.8933,155.7236,2767198
08-11-2006,162.89,162.89,153.9805,155.375,3457393
07-11-2006,161.1469,161.1469,157.8736,158.5127,1974502
06-11-2006,158.8226,159.0163,156.7986,158.0963,2884322
03-11-2006,162.1153,162.1928,156.5468,157.8832,4371033
02-11-2006,160.9532,163.6648,160.1978,160.5755,4877050
01-11-2006,161.1469,162.9675,159.9847,160.6142,2502733
31-10-2006,164.6332,165.4273,159.5974,160.3624,6145379
30-10-2006,171.9933,174.5112,162.706,165.04,4053243
27-10-2006,171.2185,172.584,170.4341,171.664,754609
26-10-2006,170.4632,171.6059,167.7419,168.8459,715091
23-10-2006,174.1238,174.1238,169.7756,170.2404,516819
20-10-2006,174.1238,174.4918,171.6059,172.5453,591090
19-10-2006,173.9108,173.9108,170.6859,172.3516,729676
18-10-2006,174.3563,175.9638,171.4316,172.003,718885
17-10-2006,175.2859,176.603,172.8455,174.3563,718718
16-10-2006,177.7651,178.1719,163.1515,175.7121,890476
13-10-2006,175.867,177.2034,173.7558,176.3803,1375662
12-10-2006,171.4122,175.2859,170.5019,174.5015,1192612
11-10-2006,176.8839,177.2228,169.3301,170.6181,1085779
10-10-2006,176.2544,177.2034,175.3053,176.5933,1067959
09-10-2006,172.187,176.2544,170.4438,174.6371,1663203
06-10-2006,173.7365,174.1238,171.4122,173.0973,1100792
05-10-2006,171.5865,174.6855,171.5865,173.3007,2038743
04-10-2006,168.8943,171.5865,168.7297,170.4922,3434329
03-10-2006,167.9452,169.824,165.7953,168.4391,2452732
29-09-2006,163.6648,167.6741,163.4808,166.9671,1850000
28-09-2006,165.0206,165.3692,162.309,163.1709,2778621
27-09-2006,166.1827,167.7903,164.2943,164.7785,1116603
26-09-2006,164.6332,166.5507,163.8585,166.0084,1382206
25-09-2006,162.1153,166.0762,161.7279,163.9359,2558005
22-09-2006,164.5267,164.5267,161.3405,161.8151,1972299
21-09-2006,164.6332,165.2143,162.3283,164.2846,1597495
20-09-2006,160.8466,163.6648,159.1228,163.0934,2129081
19-09-2006,166.5798,167.3448,159.5974,160.9725,1505330
18-09-2006,168.7006,169.2817,166.0277,166.3764,863409
15-09-2006,168.3132,169.2623,165.8244,168.4391,1379534
14-09-2006,169.4754,170.2501,166.8606,167.4804,1566316
13-09-2006,165.989,170.2501,165.989,168.4779,2630616
12-09-2006,164.6429,166.0859,162.1153,165.3692,2470761
11-09-2006,174.3175,174.5112,161.9894,164.2555,2195181
08-09-2006,174.3272,175.2375,172.7777,173.9301,4029943
07-09-2006,171.267,174.3175,170.4438,173.8042,2378810
06-09-2006,172.768,173.6299,170.8796,171.267,1443786
05-09-2006,173.9301,174.2691,170.4438,171.6834,1717744
04-09-2006,168.1389,174.2304,168.1389,173.7946,2665959
01-09-2006,164.6332,168.4876,163.4905,167.2286,1955805
31-08-2006,166.1633,166.541,162.2218,163.6938,2606785
30-08-2006,164.9141,166.5313,164.2265,165.3014,1334245
29-08-2006,166.1343,166.357,163.1418,163.7229,1168034
28-08-2006,165.776,166.1343,163.7326,164.9722,798682
25-08-2006,167.7322,168.2648,163.9553,164.5945,1554882
24-08-2006,163.1031,167.1511,161.9991,166.6282,1631116
23-08-2006,163.0837,165.6791,162.7448,164.149,2340509
22-08-2006,166.8122,167.7128,162.6963,163.7907,1528750
21-08-2006,158.8517,167.5385,158.8517,166.4151,2132238
18-08-2006,163.0062,165.8922,161.7279,164.6235,4479671
17-08-2006,158.8226,162.9578,158.4546,162.1734,4587819
16-08-2006,156.6921,159.7911,156.6921,158.1738,1504855
14-08-2006,154.7552,155.7236,153.4091,155.1426,1119499
11-08-2006,154.8521,157.0795,153.3026,153.8158,1985402
10-08-2006,153.1864,154.4163,151.2786,152.828,2087069
09-08-2006,147.7825,154.9489,147.2015,153.8449,3134938
08-08-2006,145.0709,149.0512,145.0709,148.4217,1352592
07-08-2006,146.233,148.4507,144.4899,145.1581,2622330
04-08-2006,149.5257,150.6491,146.0393,147.1337,1600693
03-08-2006,148.3636,151.8306,147.1046,148.964,3575278
02-08-2006,142.3593,147.3758,142.3593,146.8625,2432600
